id,input,output,subtype,human_sarcasm_removed_1,human_sarcasm_removed_2,human_flipped_strict,human_flipped_lenient,meaning_change,human_meaning_preserved,human_strict_success,hard_flipped_roberta_twitter,flip_delta_roberta_twitter,hard_flipped_bert_kaggle,flip_delta_bert_kaggle,hard_flipped_roberta_news,flip_delta_roberta_news,hard_flipped,inp_irony_score,out_irony_score,flip_delta,similarity,bleu,perplexity,edit_dist_raw,edit_dist_norm,paraphrase_score
13,Google presses play on 30-second Gemini musical slop generator,google presses play on a 30-second Gemini musical slop generator.,overstatement,0,0,0,0,0,1,0,0,0.12922370433807373,1,0.7506835460662842,0,0.05853217840194702,0,0.40866005420684814,0.2794363498687744,0.12922370433807373,0.9552167654037476,0.37991784282579627,744.7432250976562,3,0.3,0.592312872460521
14,Microsoft's Valentine's gift to admins: 6 exploited zero-day fixes,microsoft's valentine's gift to admins,sarcasm,0,0,0,0,1,0,0,0,0.032901644706726074,0,-0.11140245199203491,1,0.11796945333480835,0,0.9267433881759644,0.8938417434692383,0.032901644706726074,0.7505874037742615,0.05105362709447673,172.0635528564453,7,0.7777777777777778,0.712267194360159
15,"Microsoft actually does something useful, adds Sysmon to Windows",microsoft added sysmon to Windows.,sarcasm,1,1,1,1,0,1,1,0,0.07017391920089722,0,-0.09140259027481079,0,0.1425025463104248,0,0.9818928241729736,0.9117189049720764,0.07017391920089722,0.8843100070953369,0.02414176971688927,606.7885131835938,8,0.8888888888888888,0.8629611985457005
16,"For once, Supermicro has dodged drama and just delivered datacenters",supermicro delivered datacenters,sarcasm,1,1,1,1,0,1,1,0,0.023555099964141846,0,-0.40122491121292114,1,0.22737908363342285,0,0.957955539226532,0.9344004392623901,0.023555099964141846,0.7789193391799927,0.023300535123570106,13266.498046875,8,0.8,0.7607701017590013
17,"Firefox makes AI optional, like it probably should have been all along",firefox makes AI optional,sarcasm,1,1,1,1,0,1,1,0,0.04284733533859253,0,-0.1125638484954834,0,0.142009437084198,0,0.870129406452179,0.8272820711135864,0.04284733533859253,0.9478211998939514,0.022994063410792204,17454.85546875,10,0.8333333333333334,0.9260269391214967
18,Microsoft's 'atypical' emergency Windows patches are becoming awfully typical,microsoft's emergency Windows patches are becoming more common.,sarcasm,1,1,1,1,0,1,1,0,-0.025775492191314697,0,-0.000751495361328125,1,0.0973358154296875,0,0.9459154605865479,0.9716909527778625,-0.025775492191314697,0.8930995464324951,0.45622720708659226,131.5093536376953,4,0.4444444444444444,0.48564323471329557
19,Experiment suggests AI chatbot would save insurance agents a whopping 3 minutes a day,Experiment suggests AI chatbot would save insurance agents a whopping 3 minutes a day.,overstatement,0,0,0,0,0,1,0,0,0.0006775259971618652,0,0.004801928997039795,0,0.01069343090057373,0,0.9594846367835999,0.958807110786438,0.0006775259971618652,0.9938472509384155,0.9193227152249185,299.3611145019531,1,0.07142857142857142,0.08018089768689045
20,The Rule Of Law Joins America’s Dead Pets On The Rainbow Bridge,the rule of law will join america's dead pets on the rainbow bridge.,overstatement,0,0,0,0,0,1,0,0,-0.4771636128425598,0,0.0013449788093566895,0,0.23994404077529907,0,0.3438360095024109,0.8209996223449707,-0.4771636128425598,0.9400009512901306,0.0,218.3204345703125,13,1.0,0.9400009512901306
21,ABA Politely Tells President He Can’t Insult Judges Because He Lost Bigly,aBA tells president he cannot Insult judges because he lost,understatement,1,1,1,1,0,1,1,0,-0.20419877767562866,1,0.3940509557723999,0,0.05618470907211304,0,0.6862812638282776,0.8904800415039062,-0.20419877767562866,0.9588605165481567,0.01727959142950042,2752.632080078125,11,0.9166666666666666,0.9422917985843249
22,ICE Can Bust Into Houses Without Warrants Based On Memo So Cool And Legal They Keep It Hidden,ICE can bust into houses without warrants based on memo.,sarcasm,1,1,1,1,0,1,1,0,0.07588076591491699,0,0.290286123752594,0,0.20320534706115723,0,0.9277429580688477,0.8518621921539307,0.07588076591491699,0.9297224283218384,0.009483240843460443,597.3280639648438,17,0.9444444444444444,0.9209056466164955
23,Trump Wants To Regulate AI On A National Basis — Because What Could Go Wrong There?,trump wants to regulate AI on a national Basis,rhetorical_question,1,1,1,1,0,1,1,0,-0.7378244400024414,0,-0.0012307167053222656,0,0.17689180374145508,0,0.1383379101753235,0.8761623501777649,-0.7378244400024414,0.9226146340370178,0.013101694097607006,264.3719177246094,14,0.875,0.9105268193318892
24,Maybe That Whole ‘Vetting’ Thing Is Actually A Pretty Big Deal,Maybe That Whole ‘Vetting’ Thing Is Actually A Pretty Big Deal,sarcasm,1,0,0,1,1,0,0,0,0.0,0,0.0,0,0.0,0,0.6004817485809326,0.6004817485809326,0.0,1.0,1.0,630.4329833984375,0,0.0,0.0
25,Trump Defends Sacred Right To Starve Kids For Separation Of Powers,trump defended the Sacred Right to Starve Kids for Separation of Powers.,satire,0,0,0,0,0,1,0,0,-0.0673363208770752,1,0.5558664202690125,0,0.036605775356292725,0,0.8638723492622375,0.9312086701393127,-0.0673363208770752,0.9754049181938171,0.053863663688318665,218.54583740234375,7,0.5833333333333334,0.9228660357202935
26,The 4th TikTok Delay Is The Charm!,the 4th tikTok delay,sarcasm,1,1,1,1,0,1,1,0,-0.1330791711807251,0,-0.006337761878967285,0,0.02805274724960327,0,0.7414292097091675,0.8745083808898926,-0.1330791711807251,0.8923303484916687,0.037951271263104894,2218.0810546875,6,0.8571428571428571,0.8584652773797604
27,Kash Patel Makes FBI Great Again By Getting It Sued,kash p Patel makes the fbi great again,sarcasm,0,0,0,0,1,0,0,0,-0.0622868537902832,0,0.35684484243392944,0,0.19525504112243652,0,0.9053031802177429,0.9675900340080261,-0.0622868537902832,0.7905596494674683,0.02163211878762423,1748.3741455078125,10,1.0,0.7734581692214854
28,"Surprise, Surprise, The TikTok Ban Is Delayed A Third Time","Surprise, Surprise, The TikTok Ban Is Delayed A Third Time",sarcasm,0,0,0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0.8216201066970825,0.8216201066970825,0.0,0.9999999403953552,1.0,618.1791381835938,0,0.0,0.0
29,"ICE Arrests Newark Mayor For … Ummm, Body Slam?",ICE arrested the new nark mayor for body slam.,irony,1,1,1,1,1,0,0,0,-0.2730780839920044,0,0.0004944801330566406,0,0.10059088468551636,0,0.3441380262374878,0.6172161102294922,-0.2730780839920044,0.7621055245399475,0.023980296761827107,1229.916748046875,8,0.8888888888888888,0.7438300078976516
30,Trump Dumps Ed Martin In Favor Of ‘Shit Sandwich Senate Will Eat’,trump dumps ed Martin in favor of 'Shit Sandwich Senate will eat'.,sarcasm,0,0,0,0,0,1,0,0,-0.14384204149246216,1,0.47560131549835205,0,0.19171547889709473,0,0.5150516033172607,0.6588936448097229,-0.14384204149246216,0.9910482168197632,0.03986357128268015,1988.73095703125,9,0.75,0.9515414955839955
31,Even Alan Dershowitz Thinks Trump’s Latest Idea Is Unconstitutional,Alan Dershowitz believes trump's latest idea is unconstitutional.,irony,1,1,1,1,0,1,1,0,-0.296649694442749,0,-0.00020951032638549805,0,0.03861624002456665,0,0.4871116876602173,0.7837613821029663,-0.296649694442749,0.9633996486663818,0.05183741882011645,119.78294372558594,7,0.7777777777777778,0.9134594975873095
32,"Perhaps The Greatest Stock Market Correction Ever, Truly Terrific, Remember To Thank Your FAVORITE PRESIDENT!",the greatest stock market correction,sarcasm,1,1,1,1,1,0,0,0,-0.8126594424247742,0,0.010436654090881348,1,0.34234297275543213,0,0.12493187189102173,0.9375913143157959,-0.8126594424247742,0.6817464828491211,0.0,572.6239624023438,15,1.0,0.6817464828491211
33,Pam Bondi’s Brother And Ed Martin’s Assistant Running To Lead D.C. Bar… No Way This Is A Bad Idea!,pam bondi's brother and ed Martin’s assistant are running to lead a d.C. bar.,sarcasm,1,1,1,1,0,1,1,0,-0.45844554901123047,0,0.25841933488845825,0,0.015312671661376953,0,0.2601006031036377,0.7185461521148682,-0.45844554901123047,0.8686203956604004,0.00999386544924462,596.7293701171875,18,0.9473684210526315,0.8599395202997007
34,God squad' waives animal protections to expand oil drilling in Gulf of Mexico,God squad waives animal protections to expand oil drilling in the Gulf of Mexico.,satire,0,0,0,0,0,1,0,0,0.005480170249938965,0,0.037441253662109375,0,0.0064432621002197266,0,0.9068069458007812,0.9013267755508423,0.005480170249938965,0.9783644676208496,0.5757575636202255,133.7574462890625,3,0.21428571428571427,0.4150637254108703
35,Fewer heat-related deaths in 2025; warmest summer ever packing less heat?,fewer heat-related deaths in 2025,rhetorical_question,1,1,1,1,1,0,0,0,-0.45991677045822144,0,-0.013815999031066895,1,0.15787386894226074,0,0.2171674370765686,0.67708420753479,-0.45991677045822144,0.8835659027099609,0.08009199706981218,169.91798400878906,8,0.7272727272727273,0.8127993450191288
36,Comedians tell ministers lack of funding is no laughing matter,Comedians tell ministers that lack of funding is no laughing matter.,irony,0,0,0,0,0,1,0,0,-0.004208564758300781,0,-0.002514183521270752,0,0.009512662887573242,0,0.9758601188659668,0.9800686836242676,-0.004208564758300781,0.9741077423095703,0.587728372510532,70.03143310546875,2,0.18181818181818182,0.40159698427205787
37,"Meta knowingly harmed children's mental health, US jury finally decides in landmark ruling","Meta knowingly harmed children's mental health, a US jury ruled in a landmark ruling.",sarcasm,1,1,1,1,0,1,1,0,0.013112187385559082,0,0.14219099283218384,0,0.02915966510772705,0,0.8425043821334839,0.8293921947479248,0.013112187385559082,0.9152809381484985,0.4160751652217845,61.632015228271484,5,0.35714285714285715,0.5344552705840121
38,"Trump’s FBI Pick Has Some, Erm, Interesting Entries On His Resume",trump's fbi pick,irony,1,1,1,1,1,0,0,0,-0.23467236757278442,0,0.02353501319885254,1,0.39770376682281494,0,0.5143700242042542,0.7490423917770386,-0.23467236757278442,0.7537208795547485,0.0,2578.2890625,11,1.0,0.7537208795547485
39,Alina Habba Did What She Does Best (Lie),alina habba did,sarcasm,0,0,0,0,1,0,0,0,-0.1808851957321167,0,-0.047238290309906006,1,0.2287631630897522,0,0.28532493114471436,0.46621012687683105,-0.1808851957321167,0.8026058077812195,0.0,1014.888427734375,8,1.0,0.8026058077812195
40,"New year, new bug – rivalry between devs led to a deep-code disaster","new year, new bug",understatement,0,0,0,0,1,0,0,1,0.5139936804771423,0,-0.7527482509613037,1,0.2038152813911438,1,0.7545777559280396,0.24058407545089722,0.5139936804771423,0.5077078342437744,0.041910459064397936,900.1949462890625,10,0.7692307692307693,0.48642956584002656
41,Microsoft puts the 'why?' in Wi-Fi with latest Windows patch,microsoft puts the 'why?' in Wi-Fi with the latest Windows patch.,sarcasm,0,0,0,0,0,1,0,0,-0.06615597009658813,0,0.31055301427841187,0,0.01353442668914795,0,0.6362972259521484,0.7024531960487366,-0.06615597009658813,0.961615800857544,0.5193071778680676,162.21731567382812,3,0.2727272727272727,0.46224181312087115
42,End of Windows 10 support is the perfect time for the Windows 11 installer to fail,End of Windows 10 support will cause the Windows 11 installer to fail.,sarcasm,1,1,1,1,1,0,0,0,0.34354346990585327,0,-0.022915899753570557,0,0.011125266551971436,0,0.9589446187019348,0.6154011487960815,0.34354346990585327,0.9017589688301086,0.4591707160059819,42.43122100830078,6,0.375,0.4876976574475717
43,PLACEHOLDER ONLY Someone please write witty headline here,PLACEHOLDER ONLY Someone please write witty headline here,irony,1,0,0,1,1,0,0,0,0.0,0,0.0,0,0.0,0,0.24185454845428467,0.24185454845428467,0.0,0.9999998807907104,1.0,1245.65771484375,0,0.0,0.0
44,"Caffeine pouch craze: A teenage trend, unsurprisingly, troubling some experts",caffeine pouch craze,sarcasm,1,1,1,1,1,0,0,0,-0.012767195701599121,0,-0.8129185438156128,1,0.3060981035232544,0,0.7418632507324219,0.754630446434021,-0.012767195701599121,0.8658151626586914,0.011018142789200103,2080.810791015625,9,0.9,0.8562754875674634
45,Union and government to restart talks on ending doctor dispute (again),Union and government will restart talks on ending a doctor dispute.,irony,1,1,1,1,0,1,1,0,-0.16064167022705078,0,0.00034427642822265625,0,-0.07854300737380981,0,0.7395278811454773,0.9001695513725281,-0.16064167022705078,0.9617928862571716,0.3508439695638686,211.36724853515625,4,0.36363636363636365,0.6243536521444152
46,"Nasa's mega Moon rocket arrives at launch pad for Artemis II mission, hopefully to launch",nasa's mega moon rocket arrived at launch pad for the Artemis II mission.,irony,1,1,1,1,0,1,1,0,-0.2107393741607666,0,0.029056966304779053,0,0.04816997051239014,0,0.6804836988449097,0.8912230730056763,-0.2107393741607666,0.9214720726013184,0.21188545090327654,251.758544921875,8,0.5333333333333333,0.7262255470034112
47,Can plastic-eating fungi help clean up nappy waste? We sure hope so.,5 ways plastic-eating fungi are helping clean up nappy waste,understatement,1,1,1,1,1,0,0,0,-0.21474331617355347,0,0.004564881324768066,0,0.024425745010375977,0,0.7339944243431091,0.9487377405166626,-0.21474331617355347,0.9175820350646973,0.10753659580649468,440.7181701660156,9,0.75,0.8189083866406441
48,"COP30: Trump and many leaders are skipping it, so does it matter?",cOP30,rhetorical_question,0,0,0,0,1,0,0,0,0.04051470756530762,0,-0.44885432720184326,1,0.27511608600616455,0,0.2393566370010376,0.19884192943572998,0.04051470756530762,0.5813602805137634,0.0,9694.201171875,12,1.0,0.5813602805137634
49,Labour wants to shake up the police – because that always works perfectly,Labour wants to shake up the police.,sarcasm,1,1,1,1,0,1,1,0,0.064167320728302,0,0.0017447471618652344,1,0.20505452156066895,0,0.9885559678077698,0.9243886470794678,0.064167320728302,0.9161370992660522,0.3433629176453739,43.72615432739258,7,0.5384615384615384,0.601569591898891
50,Nasa announces change to its Moon landing plans - again,nasa announced a change to its Moon landing plans.,irony,1,1,1,1,0,1,1,0,0.06891340017318726,1,0.5353109240531921,0,-0.06000840663909912,0,0.8698269128799438,0.8009135127067566,0.06891340017318726,0.9502437114715576,0.39938791763778786,152.26419067382812,6,0.6,0.5707278542985292
51,Is fuel support really going to the right places for once?,trump wants fuel support,sarcasm,0,0,0,0,1,0,0,0,-0.4707897901535034,0,-0.006809413433074951,1,0.18343091011047363,0,0.4729474186897278,0.9437372088432312,-0.4707897901535034,0.647600531578064,0.029524961852386813,14253.9970703125,10,0.9090909090909091,0.6284801505876362
52,"Finally, the clitoris is getting the attention it deserves",the clitoris,irony,1,0,0,1,1,0,0,0,0.42540597915649414,0,-0.013788998126983643,0,0.01816791296005249,0,0.9646286964416504,0.5392227172851562,0.42540597915649414,0.7976565361022949,0.009549251099193677,869.7809448242188,7,0.7777777777777778,0.7900395135481411
53,Why is gaming becoming so expensive? The answer is found in AI... again,why is gaming becoming so expensive?,sarcasm,1,1,1,1,1,0,0,1,0.2368154525756836,0,-0.0012723803520202637,0,0.026153564453125,1,0.5854859948158264,0.3486705422401428,0.2368154525756836,0.857089638710022,0.23661528215726477,95.7791976928711,8,0.6153846153846154,0.654289132012582
54,Milan Protesters Rally Against an Environmentally and Economically “Totally Sustainable” Winter Olympics,Milan protesters are rallying against an environmentally and Economically “totally sustainable” winter Olympics.,sarcasm,0,0,0,0,0,1,0,0,-0.03239428997039795,0,0.0057408809661865234,0,0.11829966306686401,0,0.890334963798523,0.9227292537689209,-0.03239428997039795,0.9712064266204834,0.039073802494525016,499.2710266113281,9,0.6923076923076923,0.9332576985253013
55,Just a Reminder: Racism is not rivalry. It is a crime,a reminder that racism is not a rivalry,sarcasm,1,1,1,1,1,0,0,0,-0.2649025321006775,0,0.002237260341644287,1,0.1745736002922058,0,0.3673588037490845,0.632261335849762,-0.2649025321006775,0.883610725402832,0.04800950704175182,185.9586639404297,8,0.7272727272727273,0.8411890100594374
56,"In a Shocking Twist, an Italian Court Says Netflix Can’t Just Raise Prices However It Wants—and Orders Refunds",in an Italian court rules netflix can't raise prices,sarcasm,1,1,1,1,1,0,0,0,-0.5730664730072021,0,-0.002521336078643799,0,0.14243894815444946,0,0.3449915051460266,0.9180579781532288,-0.5730664730072021,0.8925826549530029,0.018655958642159475,456.7181091308594,16,0.8888888888888888,0.8759306698574908
57,"SpaceX delays next Starship test launch by a month, because of course it does, Musk says",spaceX delays the next Starship test launch by a month.,sarcasm,1,1,1,1,0,1,1,0,0.1016814112663269,0,-0.014289796352386475,0,0.11038774251937866,0,0.9138021469116211,0.8121207356452942,0.1016814112663269,0.9037713408470154,0.2948682411907622,295.8341064453125,10,0.625,0.6372778751328392
58,How to survive relatives when they ask personal questions you don't want to answer,how to survive relatives when they ask personal questions you don't want to answer.,overstatement,0,0,0,0,0,1,0,0,-0.01748126745223999,0,0.0003286004066467285,0,-0.0030707716941833496,0,0.3099973797798157,0.32747864723205566,-0.01748126745223999,0.9918808937072754,0.8385766789076257,52.65324020385742,2,0.14285714285714285,0.16011270799030075
59,"Rising fuel costs drives changes in driving lessons, surprising none",Rising fuel costs are driving changes in driving lessons.,sarcasm,1,1,1,1,0,1,1,0,-0.049228787422180176,0,0.18228018283843994,0,0.053703904151916504,0,0.909458339214325,0.9586871266365051,-0.049228787422180176,0.9478490352630615,0.17861170664603615,193.15953063964844,5,0.5,0.7785521014319271
60,"Faced with new energy shock, Europe finally asks if reviving nuclear is the answer","faced with new energy shock, Europe is questioning whether reviving nuclear is the answer.",sarcasm,1,1,1,1,0,1,1,0,0.1407974362373352,0,0.024732589721679688,0,-0.038806915283203125,0,0.8146646022796631,0.6738671660423279,0.1407974362373352,0.9689207077026367,0.44534504264163466,155.5837860107422,5,0.35714285714285715,0.5374166738144431
61,"Claude Code users hitting usage limits 'way faster than expected', expectedly",Claude Code users are hitting usage limits 'way faster than expected',sarcasm,1,1,1,1,0,1,1,0,0.1862679123878479,0,0.2446286678314209,0,0.009792804718017578,0,0.8863037824630737,0.7000358700752258,0.1862679123878479,0.990082323551178,0.587728372510532,604.3614501953125,3,0.2727272727272727,0.4081828508789982
62,Thousands lose their jobs in unseen deep cuts at tech giant Oracle,Thousands lose their jobs in deep cuts at tech giant Oracle.,irony,1,1,1,1,0,1,1,0,0.011067628860473633,0,0.37271755933761597,0,-0.01127392053604126,0,0.9254046678543091,0.9143370389938354,0.011067628860473633,0.9544236660003662,0.6407117598241614,71.86270141601562,2,0.16666666666666666,0.3429131993394439
63,What could six fictional voters teach us about how social media really works? Subscrible to find out,6 fictional voters,sarcasm,0,0,0,0,1,0,0,0,-0.7322856187820435,0,-0.014030635356903076,1,0.2529860734939575,0,0.0861361026763916,0.8184217214584351,-0.7322856187820435,0.5990287661552429,0.0022594987432262813,101941.2734375,15,0.8823529411764706,0.5976752614109587
64,"First stop, the Moon. Next stop, Mars? Why Nasa's mission (probably) matters","first stop, the moon. next stop, mars.",sarcasm,1,1,1,1,1,0,0,0,0.06366091966629028,0,-0.0016981959342956543,1,0.17840814590454102,0,0.24189072847366333,0.17822980880737305,0.06366091966629028,0.8408281803131104,0.0378442713638306,171.42518615722656,9,0.75,0.8090076504869851
65,Who knew Lord Sugar is a table tennis fan? Not us,lord sugar is a table tennis fan.,sarcasm,1,1,1,1,0,1,1,0,-0.2032676339149475,0,0.02633070945739746,1,0.22587400674819946,0,0.5855432748794556,0.7888109087944031,-0.2032676339149475,0.9165970087051392,0.2321746040303191,415.92291259765625,7,0.6363636363636364,0.7037864611536485
66,Your Daily Reminder: 'Women's health must be taken more seriously',your daily reminder,sarcasm,0,1,0,1,1,0,0,0,-0.05664932727813721,0,0.05094510316848755,1,0.23146945238113403,0,0.8697613477706909,0.9264106750488281,-0.05664932727813721,0.4285103678703308,0.0,867.6762084960938,10,1.0,0.4285103678703308
67,Lab-grown food pipe offers (non-pipe) dream for young patients... hopefully,Lab-grown food pipe offers a dream for young patients.,sarcasm,1,1,1,1,0,1,1,0,-0.06262803077697754,0,0.03419679403305054,0,-0.010425984859466553,0,0.8698921203613281,0.9325201511383057,-0.06262803077697754,0.9701118469238281,0.3862752974508186,419.17144775390625,3,0.3,0.5953816046927635
68,"Another 58 babies lost to poor NHS care, BBC finds","another 58 babies were lost to poor NHS care, BBC found.",sarcasm,0,0,0,0,0,1,0,0,0.05909019708633423,0,0.08817839622497559,0,0.044560253620147705,0,0.7696710228919983,0.7105808258056641,0.05909019708633423,0.967263400554657,0.5193071778680676,198.56288146972656,3,0.2727272727272727,0.46495657375754784
69,Surprise! Sleep has effects that extend far beyond the private sphere',Surprise! Sleep has effects that extend far beyond the private sphere',sarcasm,1,0,0,1,1,0,0,0,0.0,0,0.0,0,0.0,0,0.748998761177063,0.748998761177063,0.0,0.9999998807907104,1.0,260.6785888671875,0,0.0,0.0
70,Racist backlash against newly elected French officials... again,Racist backlash against newly elected french officials,sarcasm,1,1,1,1,0,1,1,0,0.002334296703338623,0,-0.000590980052947998,0,-0.12834829092025757,0,0.9708554744720459,0.9685211777687073,0.002334296703338623,0.9648981690406799,0.5329462628216854,1492.9471435546875,3,0.375,0.4506592958469626
71,Tax reassessments finally target wealthy French who pay no income tax,Tax reassessments target wealthy French who pay no income tax.,sarcasm,1,1,1,1,0,1,1,0,0.059184908866882324,0,0.19986802339553833,0,0.11494112014770508,0,0.9722446203231812,0.9130597114562988,0.059184908866882324,0.9435376524925232,0.6398166741645538,152.96878051757812,2,0.18181818181818182,0.3398465297257265
72,"In one month of war, oil production has plunged, to no one's surprise","in one month of war, oil production has plunged",sarcasm,1,1,1,1,0,1,1,0,-0.0006398558616638184,0,-0.00186234712600708,1,0.1171565055847168,0,0.9458106160163879,0.9464504718780518,-0.0006398558616638184,0.8804827928543091,0.46548383647045716,104.79866027832031,6,0.46153846153846156,0.4706322844902624
73,"Why We All Keep Nostalgically Yearning for 2016, for Some Mysterious Reason",why we all keep yearning for 2016,sarcasm,1,1,1,1,0,1,1,0,-0.05418437719345093,0,0.0021948814392089844,1,0.1349826455116272,0,0.3237224817276001,0.377906858921051,-0.05418437719345093,0.9020842909812927,0.016170365420297903,144.435302734375,11,0.9166666666666666,0.8874972583562148
74,"Transmission network already threatened by climate hazards, data shows, of course",The transmission network is already threatened by climate hazards.,sarcasm,1,1,1,1,0,1,1,0,0.2698352336883545,1,0.6228539943695068,1,0.20357507467269897,0,0.8883236646652222,0.6184884309768677,0.2698352336883545,0.9287875890731812,0.25271148634948987,301.8987121582031,8,0.7272727272727273,0.6940722969355383
75,How to Tell Whether Your Beach Is Actually Safe to Swim In (Without Learning the Hard Way),how to tell whether your beach is safe to swim in,sarcasm,1,1,1,1,0,1,1,0,-0.17934095859527588,0,-0.0002129673957824707,1,0.19373613595962524,0,0.05623221397399902,0.2355731725692749,-0.17934095859527588,0.9419544339179993,0.01299236773467766,29.705604553222656,15,0.8823529411764706,0.9297162155232265
76,Forestry industry still unsure if it's included in national fuel plan,The forestry industry is unsure if it is included in the national fuel plan.,irony,1,1,1,1,0,1,1,0,-0.22469592094421387,1,0.9471343159675598,0,0.0520784854888916,0,0.2980078458786011,0.5227037668228149,-0.22469592094421387,0.9526374340057373,0.05437427682227521,79.99115753173828,7,0.5,0.9008384624578474
