id,input,output,Strategy(just pasted from other sheet),Nguyen checking Sarcasm removed,Andrew checking if sarcasm removed,meaning_change,
47,Can plastic-eating fungi help clean up nappy waste? We sure hope so.,5 ways plastic-eating fungi are helping clean up nappy waste,understatement,1,1,1,
48,"COP30: Trump and many leaders are skipping it, so does it matter?",cOP30,rhetorical_question,0,0,1,
49,Labour wants to shake up the police – because that always works perfectly,Labour wants to shake up the police.,sarcasm,1,1,0,
50,Nasa announces change to its Moon landing plans - again,nasa announced a change to its Moon landing plans.,irony,1,1,0,
51,Is fuel support really going to the right places for once?,trump wants fuel support,sarcasm,0,0,1,
52,"Finally, the clitoris is getting the attention it deserves",the clitoris,irony,0,0,1,
53,Why is gaming becoming so expensive? The answer is found in AI... again,why is gaming becoming so expensive?,sarcasm,1,1,1,It removes the answer of the headline then now it’s just a generic question.
54,Milan Protesters Rally Against an Environmentally and Economically “Totally Sustainable” Winter Olympics,Milan protesters are rallying against an environmentally and Economically “totally sustainable” winter Olympics.,sarcasm,0,0,0,
55,Just a Reminder: Racism is not rivalry. It is a crime,a reminder that racism is not a rivalry,sarcasm,1,1,1,
56,"In a Shocking Twist, an Italian Court Says Netflix Can’t Just Raise Prices However It Wants—and Orders Refunds",in an Italian court rules netflix can't raise prices,sarcasm,1,1,1,
57,"SpaceX delays next Starship test launch by a month, because of course it does, Musk says",spaceX delays the next Starship test launch by a month.,sarcasm,1,1,0,
58,How to survive relatives when they ask personal questions you don't want to answer,how to survive relatives when they ask personal questions you don't want to answer.,overstatement,0,0,0,changed to align with t5 base human evaluation
59,"Rising fuel costs drives changes in driving lessons, surprising none",Rising fuel costs are driving changes in driving lessons.,sarcasm,1,1,0,
60,"Faced with new energy shock, Europe finally asks if reviving nuclear is the answer","faced with new energy shock, Europe is questioning whether reviving nuclear is the answer.",sarcasm,1,1,0,
61,"Claude Code users hitting usage limits 'way faster than expected', expectedly",Claude Code users are hitting usage limits 'way faster than expected',sarcasm,1,1,0,
62,Thousands lose their jobs in unseen deep cuts at tech giant Oracle,Thousands lose their jobs in deep cuts at tech giant Oracle.,irony,1,1,0,
63,What could six fictional voters teach us about how social media really works? Subscrible to find out,6 fictional voters,sarcasm,0,0,1,
64,"First stop, the Moon. Next stop, Mars? Why Nasa's mission (probably) matters","first stop, the moon. next stop, mars.",sarcasm,1,1,1,
65,Who knew Lord Sugar is a table tennis fan? Not us,lord sugar is a table tennis fan.,sarcasm,1,1,0,
66,Your Daily Reminder: 'Women's health must be taken more seriously',your daily reminder,sarcasm,0,0,1,
67,Lab-grown food pipe offers (non-pipe) dream for young patients... hopefully,Lab-grown food pipe offers a dream for young patients.,sarcasm,1,1,0,
68,"Another 58 babies lost to poor NHS care, BBC finds","another 58 babies were lost to poor NHS care, BBC found.",sarcasm,0,0,0,
69,Surprise! Sleep has effects that extend far beyond the private sphere',,sarcasm,0,0,1,
70,Racist backlash against newly elected French officials... again,Racist backlash against newly elected french officials,sarcasm,1,1,0,
71,Tax reassessments finally target wealthy French who pay no income tax,Tax reassessments target wealthy French who pay no income tax.,sarcasm,1,1,0,
72,"In one month of war, oil production has plunged, to no one's surprise","in one month of war, oil production has plunged",sarcasm,1,1,0,
73,"Why We All Keep Nostalgically Yearning for 2016, for Some Mysterious Reason",why we all keep yearning for 2016,sarcasm,1,1,0,
74,"Transmission network already threatened by climate hazards, data shows, of course",The transmission network is already threatened by climate hazards.,sarcasm,1,1,0,
75,How to Tell Whether Your Beach Is Actually Safe to Swim In (Without Learning the Hard Way),how to tell whether your beach is safe to swim in,sarcasm,1,1,0,
76,Forestry industry still unsure if it's included in national fuel plan,The forestry industry is unsure if it is included in the national fuel plan.,irony,1,1,0,
77,"Marine carbon dioxide removal is a big idea - and with big hurdles, of course",Marine carbon dioxide removal,sarcasm,1,1,1,changed to align with t5 base human evaluation
78,"Anxious, desensitised: How else do teens learn about news now?",teens are anxious,rhetorical_question,1,1,1,
79,Analysts say (again) social media giants need to feel global pressure,Analysts say social media giants need to feel global pressure.,sarcasm,1,1,0,
80,Can scientists really resurrect the dodo? Inside another company that says it can,can scientists resurrect the dodo?,sarcasm,1,1,1,
81,Somaliland called for extradition of Ilhan Omar: Another minor false report,somaliland called for the extradition of Ilhan Omar,understatement,1,1,0,
82,"Including online games in social media bans is definitely workable, necessary and would benefit young people",cluding online games in social media bans is workable and would benefit young people.,satire,0,0,0,
83,Vibe coded applications full of non-vibey security blunders because of course it is.,vibe coded applications contain non-vibey security,irony,0,0,1,
84,America’s Finest Minds Rally Around Trump’s War—Guess It’s On the Rest of Us to Provide the Shame,,sarcasm,0,0,1,
85,Donald Trump delivers his daily scheduled ‘sleazebag’ comment about Leonard Leo,donald trump delivered his daily scheduled 'sleazebag’ comment about Leonard Leo.,sarcasm,0,0,0,
86,Trump Sues IRS For $10B Over Leak Of His Glorious Tax Returns,trump sued IRS for $10B over leak of his tax returns.,sarcasm,1,1,0,
87,"Come on kids, let's go play in the abandoned nuclear power station","Come on kids, let's go play in the abandoned nuclear power station.",understatement,0,0,0,
88,"Error' causes Alexa to endorse Kamala Harris, refuse to discuss Trump",Error caused Alexa to endorse Kamala Harris and refuse to discuss trump.,sarcasm,1,1,0,
89,Mobile ad world drama: AppLovin not lovin' short seller assault claiming fraud,Mobile ad world drama,sarcasm,0,0,1,
90,"God didn't have a plan for Gelsinger at Intel. Maybe there is one for his new gig, Gloo",God didn't have a plan for gelsinger at Intel.,sarcasm,0,0,1,
91,"Please sir, may we have some Moore? Doesn't look that way","please sir, may we have Moore",irony,0,0,0,
92,Teens maintained a mainframe and it went about as well as you'd imagine,Teens maintained a mainframe.,sarcasm,1,1,1,
93,"World’s Deadliest Sharks Only One-Third As Deadly To Minnesotans In 2026 As ICE, Trump’s Stupid War",The world's deadliest Sharks are one-third as deadly to Minnesotans in 2026 as ICE.,sarcasm,1,1,1,changed to align with t5 base human evaluation
94,"A male doctor at a women’s health conference says heat exhaustion affects women no differently, what could possibly go wrong?",a male doctor at a women’s health conference says heat exhaustion affects women.,rhetorical_question,1,1,1,
95,Hate To Say I Told You So Again: Your Chats Ain’t Private,hate to say i told you so again,sarcasm,0,0,1,
96,"$400m White House Ballroom Project is absolutely critical to nation security and halting it will severly risk national security, Trump Officials say",The $400m white house ballroom project is critical to nation security and halting it will risk national security.,overstatement,0,0,0,
97,Disciples Wondering What Jesus Could Have Possibly Meant By 'They Will Kill Me And In Three Days I Will Rise From The Dead',disciples are wondering what jesus inspired by 'they will kill me and in three days i will rise from the dead'.,irony,0,0,1,
98,Oops. VMware admits it over-specced storage servers for years,v VMware admitted it over-specced storage servers for years.,irony,1,1,0,
99,Is it wrong for a Waitrose employee to stop a shoplifter from stealing Easter eggs? plot twist he got fired,waitrose employee tried to stop a shoplifter from stealing Easter eggs.,rhetorical_question,1,1,1,
100,Grok told to cover up as UK weighs action over AI 'undressing',Grok was told to cover up as the UK weighs action over AI 'undressing'.,irony,0,0,0,Should be 0
101,"Sorry Dave, I’m afraid I can’t do that! PCs refuse to shut down after Microsoft patch",dave,sarcasm,0,0,1,
102,"Another week, another emergency patch as Cisco plugs Unified Comms zero-day","Another week, another emergency patch as Cisco plugs Unified Comms zero-day.",sarcasm,0,0,0,
103,"AI security startup CEO posts a job. Deepfake candidate applies, inner turmoil ensues",AI security startup CEO posts a job.,irony,1,1,1,
104,"Anthropic’s Legal Plug In: Hate to Say We Told You So, But We Told You So",thropic,sarcasm,0,0,1,
105,How Many Security Issues Is ‘Too Many’? OpenClaw Users About to Find Out as They Brace For Another High Severity CVE,how many security issues are,rhetorical_question,1,1,1,
106,Weaponization Czar Ed Martin Sidelined For Weaponizing His Position - Sounds about right.,Weaponization czar ed martin is punished for weaponizing his position.,irony,1,1,0,
107,"""My cat isn't cute,"" says 100% of respondents; complaints erupt, yet smartphones are filled with photos.","""my cat is not cute,"" says 100% of respondents",irony,1,1,1,changed to align with t5 base human evaluation
108,Trump’s Cook Case Looks Cooked,trump's cook case looks cooked.,sarcasm,0,0,0,
109,"CBP facility codes sure seem to have leaked, now conveniently available as flashcards for all to memorise",CBP facility codes are now available as flashcards for all to memorise.,sarcasm,1,1,0,
110,"No recession but inflation hike and increased cost-of-living pressure on the way, Jim Chalmers says, which is totally not concerning",no recession but an inflation hike and increased cost-of-living pressure,understatement,1,1,1,
111,Torts Professor Who Botched COVID Prediction Suddenly Expert On Birthright Citizenship,A torts professor who botched COVID prediction is an expert on birthright citizenship.,sarcasm,0,0,0,
112,"Trump proposes drastic NASA cuts as Astronauts head for the moon, well it is not like they need it right?",trump proposes severe nasa cuts as Astronauts head for the moon.,rhetorical_question,1,1,0,
113,"Trump Continues To Use Pop Culture Memes Without Permission, This Time With A 3rd Term Easter Egg - It May As Well Be Terminal","trump continues to use pop culture memes without Permission, this time with a 3rd term Easter egg.",overstatement,1,1,0,
114,"Lick around and find out, Teen realised there may be consequences to his actions as he is being led away by the police for allegedly licking iJooz straw and putting it back in vending machine",Teen realized there were consequences to his actions as he was led away by police for licking an iJooz straw and putting it back in a vending machine.,understatement,1,1,0,
115,Man consult woman's cat on permission on the very simple and insignificant act of marrying her,A man consulted his cat on permission on marrying her.,irony,1,1,0,
116,Ho ho oh no no no! Law Firm Sent Out Fake Christmas Vouchers. Staff Want To Ram Coal Up Leadership’s Chimneys.,law firm sent out fake christmas vouchers.,sarcasm,1,1,1,
117,Want digital sovereignty? That'll be 1% of your GDP into AI infrastructure please,want digital sovereignty?,sarcasm,0,0,1,
118,Artemis astronauts to study the Moon’s surface using mainly their eyes,Artemis astronauts will study the moon’s surface using their eyes.,understatement,0,0,0,
119,"Polymarket apologizes for allowing wagers on fate of U.S. pilots downed in Iran, say it may have been a tad insensitive",Polymarket apologized for allowing wagers on the fate of U.S. pilots downed in Iran.,understatement,1,1,0,
120,Ubisoft Stepping Away from Video Games to Focus On Laying Employees Off,Ubisoft is stepping away from video games to focus on laying employees off.,irony,0,0,0,
121,Trump Calls for Boycotting Every Springsteen Song Except the One That Goes “Hey Little Girl Is Your Daddy Home?”,trump called for boycotting every springsteen song except the one that goes “Hey Little Girl Is Your Daddy Home.”,satire,0,0,0,
122,Traffic disruption in Chinese city amdist a mass robotaxi malfunction is a only a mild inconvenice for introverts compared to risks of a talkative driver,traffic disruption in Chinese city amdist caused by robotaxi malfunction.,understatement,1,1,0,
123,To BSOD or not to BSOD? Only Microsoft knows the answer,to BSOD or not to BSOD,sarcasm,0,0,0,
124,Is a Cambodia's new statue enough to honour the rats that died clearing mines for the country?,cambodia unveils a new statue to honor rats that died clearing mines for the country.,rhetorical_question,1,1,0,
125,Even Microsoft knows Copilot shouldn't be trusted with anything important,Microsoft believes Copilot is not trusted with important data.,sarcasm,1,1,0,
126,"Are injectable peptides really the fountain of youth they are touted to be, given the lack of scientific evidence so far?",injectable peptides,rhetorical_question,0,0,1,
127,Is a recycling centre really the best place you can find for a 5-year-old B.C. boy's birthday?,a recycling centre is the best place for a 5-year-old B.C. boy's birthday.,rhetorical_question,0,0,0,
128,"Supreme Court Hacked, Proving Its Cybersecurity Is As Robust As Its Ethical Code",supreme court was hacked,sarcasm,1,1,1,
129,Judge With Overinflated View Of His Intelligence Blasts Judges For ‘Overinflated View Of Their Intelligence’,Judge with overinflated view of his intelligence criticized judges for their intelligence.,irony,0,0,0,
130,Does burying burnt wood after wildfires really help the climate?,fire burned burnt wood,rhetorical_question,0,0,1,
131,You are telling me fish really make such a big return just because a historical hydro dam was removed in N.B.?,you are telling me fish make a big return because a historical hydro dam was removed in N.B.,rhetorical_question,0,0,0,
132,Yukon man grows pineapple at home — and it only took 9 years,Yukon man grew pineapple at home for 9 years.,understatement,1,1,0,
133,Abortion Pill Ban Aborted In Wyoming,Abortion pill ban was aborted in Wyoming.,irony,0,0,0,
134,"Houston, we've got a plumbing problem: Artemis II toilet is still on the fritz","houston, we have a plumbing problem",irony,0,0,1,
135,Another National Security Concern!,hillary clinton,sarcasm,0,0,1,
136,Google Built Its Empire Scraping The Web. Now It’s Suing To Stop Others From Scraping Google.,google built its empire,irony,1,1,1,changed to align with t5 base human evaluation
137,Decade-old rule lake operators are definitely aware of comes back to bite them as it resurfaces,,sarcasm,0,0,1,
138,"When women are driven from public life, that’s great for democracy, right?",when women are driven from public life,rhetorical_question,1,1,1,
139,Trump AI Regulation Order Hallucinates More Fake Law Than Any AI,trump AI regulation order Hallucinates more law than AI.,irony,0,0,0,
140,Techie fooled a panicked daemon and manipulated time itself to get servers in sync,Techie fooled a panicked daemon and manipulated time itself to get servers in sync.,overstatement,0,0,0,
