id,input,output
75,How to Tell Whether Your Beach Is Actually Safe to Swim In (Without Learning the Hard Way),how to tell whether your beach is safe to swim in
76,Forestry industry still unsure if it's included in national fuel plan,The forestry industry is unsure if it is included in the national fuel plan.
77,"Marine carbon dioxide removal is a big idea - and with big hurdles, of course",Marine carbon dioxide removal
78,"Anxious, desensitised: How else do teens learn about news now?",teens are anxious
79,Analysts say (again) social media giants need to feel global pressure,Analysts say social media giants need to feel global pressure.
80,Can scientists really resurrect the dodo? Inside another company that says it can,can scientists resurrect the dodo?
81,Somaliland called for extradition of Ilhan Omar: Another minor false report,somaliland called for the extradition of Ilhan Omar
82,"Including online games in social media bans is definitely workable, necessary and would benefit young people",cluding online games in social media bans is workable and would benefit young people.
83,Vibe coded applications full of non-vibey security blunders because of course it is.,vibe coded applications contain non-vibey security
84,America’s Finest Minds Rally Around Trump’s War—Guess It’s On the Rest of Us to Provide the Shame,
85,Donald Trump delivers his daily scheduled ‘sleazebag’ comment about Leonard Leo,donald trump delivered his daily scheduled 'sleazebag’ comment about Leonard Leo.
86,Trump Sues IRS For $10B Over Leak Of His Glorious Tax Returns,trump sued IRS for $10B over leak of his tax returns.
87,"Come on kids, let's go play in the abandoned nuclear power station","Come on kids, let's go play in the abandoned nuclear power station."
88,"Error' causes Alexa to endorse Kamala Harris, refuse to discuss Trump",Error caused Alexa to endorse Kamala Harris and refuse to discuss trump.
89,Mobile ad world drama: AppLovin not lovin' short seller assault claiming fraud,Mobile ad world drama
90,"God didn't have a plan for Gelsinger at Intel. Maybe there is one for his new gig, Gloo",God didn't have a plan for gelsinger at Intel.
91,"Please sir, may we have some Moore? Doesn't look that way","please sir, may we have Moore"
92,Teens maintained a mainframe and it went about as well as you'd imagine,Teens maintained a mainframe.
93,"World’s Deadliest Sharks Only One-Third As Deadly To Minnesotans In 2026 As ICE, Trump’s Stupid War",The world's deadliest Sharks are one-third as deadly to Minnesotans in 2026 as ICE.
94,"A male doctor at a women’s health conference says heat exhaustion affects women no differently, what could possibly go wrong?",a male doctor at a women’s health conference says heat exhaustion affects women.
95,Hate To Say I Told You So Again: Your Chats Ain’t Private,hate to say i told you so again
96,"$400m White House Ballroom Project is absolutely critical to nation security and halting it will severly risk national security, Trump Officials say",The $400m white house ballroom project is critical to nation security and halting it will risk national security.
97,Disciples Wondering What Jesus Could Have Possibly Meant By 'They Will Kill Me And In Three Days I Will Rise From The Dead',disciples are wondering what jesus inspired by 'they will kill me and in three days i will rise from the dead'.
98,Oops. VMware admits it over-specced storage servers for years,v VMware admitted it over-specced storage servers for years.
99,Is it wrong for a Waitrose employee to stop a shoplifter from stealing Easter eggs? plot twist he got fired,waitrose employee tried to stop a shoplifter from stealing Easter eggs.
100,Grok told to cover up as UK weighs action over AI 'undressing',Grok was told to cover up as the UK weighs action over AI 'undressing'.
101,"Sorry Dave, I’m afraid I can’t do that! PCs refuse to shut down after Microsoft patch",dave
102,"Another week, another emergency patch as Cisco plugs Unified Comms zero-day","Another week, another emergency patch as Cisco plugs Unified Comms zero-day."
103,"AI security startup CEO posts a job. Deepfake candidate applies, inner turmoil ensues",AI security startup CEO posts a job.
104,"Anthropic’s Legal Plug In: Hate to Say We Told You So, But We Told You So",thropic
105,How Many Security Issues Is ‘Too Many’? OpenClaw Users About to Find Out as They Brace For Another High Severity CVE,how many security issues are
106,Weaponization Czar Ed Martin Sidelined For Weaponizing His Position - Sounds about right.,Weaponization czar ed martin is punished for weaponizing his position.
107,"""My cat isn't cute,"" says 100% of respondents; complaints erupt, yet smartphones are filled with photos.","""my cat is not cute,"" says 100% of respondents"
108,Trump’s Cook Case Looks Cooked,trump's cook case looks cooked.
109,"CBP facility codes sure seem to have leaked, now conveniently available as flashcards for all to memorise",CBP facility codes are now available as flashcards for all to memorise.
110,"No recession but inflation hike and increased cost-of-living pressure on the way, Jim Chalmers says, which is totally not concerning",no recession but an inflation hike and increased cost-of-living pressure
111,Torts Professor Who Botched COVID Prediction Suddenly Expert On Birthright Citizenship,A torts professor who botched COVID prediction is an expert on birthright citizenship.
112,"Trump proposes drastic NASA cuts as Astronauts head for the moon, well it is not like they need it right?",trump proposes severe nasa cuts as Astronauts head for the moon.
113,"Trump Continues To Use Pop Culture Memes Without Permission, This Time With A 3rd Term Easter Egg - It May As Well Be Terminal","trump continues to use pop culture memes without Permission, this time with a 3rd term Easter egg."
114,"Lick around and find out, Teen realised there may be consequences to his actions as he is being led away by the police for allegedly licking iJooz straw and putting it back in vending machine",Teen realized there were consequences to his actions as he was led away by police for licking an iJooz straw and putting it back in a vending machine.
115,Man consult woman's cat on permission on the very simple and insignificant act of marrying her,A man consulted his cat on permission on marrying her.
116,Ho ho oh no no no! Law Firm Sent Out Fake Christmas Vouchers. Staff Want To Ram Coal Up Leadership’s Chimneys.,law firm sent out fake christmas vouchers.
117,Want digital sovereignty? That'll be 1% of your GDP into AI infrastructure please,want digital sovereignty?
118,Artemis astronauts to study the Moon’s surface using mainly their eyes,Artemis astronauts will study the moon’s surface using their eyes.
119,"Polymarket apologizes for allowing wagers on fate of U.S. pilots downed in Iran, say it may have been a tad insensitive",Polymarket apologized for allowing wagers on the fate of U.S. pilots downed in Iran.
120,Ubisoft Stepping Away from Video Games to Focus On Laying Employees Off,Ubisoft is stepping away from video games to focus on laying employees off.
121,Trump Calls for Boycotting Every Springsteen Song Except the One That Goes “Hey Little Girl Is Your Daddy Home?”,trump called for boycotting every springsteen song except the one that goes “Hey Little Girl Is Your Daddy Home.”
122,Traffic disruption in Chinese city amdist a mass robotaxi malfunction is a only a mild inconvenice for introverts compared to risks of a talkative driver,traffic disruption in Chinese city amdist caused by robotaxi malfunction.
123,To BSOD or not to BSOD? Only Microsoft knows the answer,to BSOD or not to BSOD
124,Is a Cambodia's new statue enough to honour the rats that died clearing mines for the country?,cambodia unveils a new statue to honor rats that died clearing mines for the country.
125,Even Microsoft knows Copilot shouldn't be trusted with anything important,Microsoft believes Copilot is not trusted with important data.
126,"Are injectable peptides really the fountain of youth they are touted to be, given the lack of scientific evidence so far?", injectable peptides
127,Is a recycling centre really the best place you can find for a 5-year-old B.C. boy's birthday?,a recycling centre is the best place for a 5-year-old B.C. boy's birthday.
128,"Supreme Court Hacked, Proving Its Cybersecurity Is As Robust As Its Ethical Code",supreme court was hacked
129,Judge With Overinflated View Of His Intelligence Blasts Judges For ‘Overinflated View Of Their Intelligence’,Judge with overinflated view of his intelligence criticized judges for their intelligence.
130,Does burying burnt wood after wildfires really help the climate?,fire burned burnt wood
131,You are telling me fish really make such a big return just because a historical hydro dam was removed in N.B.?,you are telling me fish make a big return because a historical hydro dam was removed in N.B.
132,Yukon man grows pineapple at home — and it only took 9 years,Yukon man grew pineapple at home for 9 years.
133,Abortion Pill Ban Aborted In Wyoming,Abortion pill ban was aborted in Wyoming.
134,"Houston, we've got a plumbing problem: Artemis II toilet is still on the fritz","houston, we have a plumbing problem"
135,Another National Security Concern!,hillary clinton
136,Google Built Its Empire Scraping The Web. Now It’s Suing To Stop Others From Scraping Google.,google built its empire
137,Decade-old rule lake operators are definitely aware of comes back to bite them as it resurfaces,
138,"When women are driven from public life, that’s great for democracy, right?",when women are driven from public life
139,Trump AI Regulation Order Hallucinates More Fake Law Than Any AI,trump AI regulation order Hallucinates more law than AI.
140,Techie fooled a panicked daemon and manipulated time itself to get servers in sync,Techie fooled a panicked daemon and manipulated time itself to get servers in sync.
